Company,Link,Description
DBpedia,http://dbpedia.org,"DBpedia data is served as Linked Data, which is revolutionizing the way applications interact with the Web. One can navigate this Web of facts with standard Web browsers, automated crawlers or pose complex queries with SQL-like query languages (e.g. SPARQL). The English version of the DBpedia knowledge base describes 4.58 million things. In addition, we provide localized versions of DBpedia in 125 languages. The full DBpedia data set features 38 million labels and abstracts in 125 different languages, 25.2 million links to images and 29.8 million links to external web pages; 80.9 million links to Wikipedia categories, and 41.2 million links to YAGO categories. DBpedia is connected with other Linked Datasets by around 50 million RDF links Linked Data has been revolutionizing the way applications interact with the Web. While the Web2.0 technologies opened up much of the “guts” of websites for third-parties to reuse and repurpose data on the Web, they still require that developers create one client per target API. With Linked Data technologies, all APIs are interconnected via standard Web protocols and languages. One can navigate this Web of facts with standard Web browsers, automated crawlers or pose complex queries with SQL-like query languages (e.g., SPARQL). Have you thought of asking the Web about all cities with low criminality, warm weather and open jobs? This new Web of interlinked databases provides useful knowledge that can complement the textual Web in many ways. See, for example, how bloggers tag their posts or assign them to categories in order to organize and interconnect their posts. This is a simple way to connect unstructured text to a structure (hierarchy of tags). For further examples visit: https://wiki.dbpedia.org/gsoc We are regularly growing our community through GSoC and can deliver more and more opportunities to you."
Debian,https://www.debian.org/,"The Debian Project is an association of individuals who have made common cause to create a free operating system -- Debian
An operating system is the set of basic programs and utilities that make your computer run. At the core of an operating system is the kernel. The kernel is the most fundamental program on the computer and does all the basic housekeeping and lets you start other programs.
Debian systems currently use the Linux kernel or the FreeBSD kernel.
However, work is in progress to provide Debian for other kernels, primarily for the Hurd. The Hurd is a collection of servers that run on top of a microkernel (such as Mach) to implement different features. The Hurd is free software produced by the GNU project.
A large part of the basic tools that fill out the operating system come from the GNU project; hence the names: GNU/Linux, GNU/kFreeBSD, and GNU/Hurd. These tools are also free.
Of course, the thing that people want is application software: programs to help them get what they want to do done, from editing documents to running a business to playing games to writing more software. Debian comes with over 51000 packages (precompiled software that is bundled up in a nice format for easy installation on your machine), a package manager (APT), and other utilities that make it possible to manage thousands of packages on thousands of computers as easily as installing a single application. All of it free.
It's a bit like a tower. At the base is the kernel. On top of that are all the basic tools. Next is all the software that you run on the computer. At the top of the tower is Debian — carefully organizing and fitting everything so it all works together."
Developers Italia,https://developers.italia.it/,"Developers Italia is a community dedicated to the development of Open Source Software, created to support the Italian digital public services.
It is a radical change in the way the Public Administration operates. In fact, everything we are doing is achieved through open standards and software. We are creating SDKs for the main programming languages and frameworks, we craft publicly documented APIs, we organize public code catalogues. Our mission is to contribute to open projects, and the people we contract to improve the technology become Open Source developers.
Most of the code is deployed within the Italian public institutions, but it is meant to be generic, in the hope that it will be useful to many other people around the world. Around these tools we are engaging a community of developers and innovators, inside and outside Italy, that can participate in all aspects of the creation of the new digital infrastructure."
Digital Impact Alliance,http://digitalimpactalliance.org/,"The Digital Impact Alliance (DIAL) at United Nations Foundation has launched its Open Source Center to provide a collaborative space for (and professional technical assistance to) open source projects focusing on international development and humanitarian response.
We are a Google Summer of Code umbrella organization that works with many of the leading projects in this area, including Ushahidi, Humanitarian Open Street Map Team, OpenLMIS, SUMSarizer, LibreHealth, and Open Data Kit.
Our Center assists in the establishment of effective governance, software project management, and contribution models for member projects. It also provides technical, architectural, and programming support for projects; and assists those projects in support, engagement, management of their communities of contributors and implementers. More information about the DIAL Open Source Center is available at http://osc.dial.community/.
This year, our sub-organizations include: (final list of sub-orgs pending list of which orgs will participate independently)
Read more about these projects and other humanitarian & international development projects participating in Google Summer of Code at: http://gsoc.dial.community/"
Django Software Foundation,https://www.djangoproject.com/,"Django is a high-level Python Web framework originally developed at the Lawrence-Journal World. Django was designed to handle two challenges: the intensive deadlines of a newsroom and the stringent requirements of the experienced Web developers who wrote it. It lets you build high-performing, elegant Web applications quickly."
Drupal,https://www.drupal.org,"Drupal is content management software. It's used to make many of the websites and applications you use every day. Drupal has great standard features, like easy content authoring, reliable performance, and excellent security. But what sets it apart is its flexibility; modularity is one of its core principles. Its tools help you build the versatile, structured content that dynamic web experiences need. It's also a great choice for creating integrated digital frameworks. You can extend it with any one, or many, of thousands of add-ons. Modules expand Drupal's functionality. Themes let you customize your content's presentation. Distributions are packaged Drupal bundles you can use as starter-kits. Mix and match these components to enhance Drupal's core abilities. Or, integrate Drupal with external services and other applications in your infrastructure. No other content management software is this powerful and scalable. The Drupal project is open source software. Anyone can download, use, work on, and share it with others. It's built on principles like collaboration, globalism, and innovation. It's distributed under the terms of the GNU (GPL). There are no licensing fees, ever. Drupal will always be free. The Drupal community is one of the largest open source communities in the world. We're more than 1,000,000 passionate developers, designers, trainers, strategists, coordinators, editors, and sponsors working together. We build Drupal, provide support, create documentation, share networking opportunities, and more. Our shared commitment to the open source spirit pushes the Drupal project forward. New members are always welcome. Drupal 8 is the biggest update in Drupal's history. Creating content is easier. Every built-in theme is responsively designed. It's available in 100 languages, and its integration tools make it a great hub for complex ecosystems. More than 4,500 people, companies, and organizations contributed their time, experience, and imagination."
Earth Science Information Partners,http://esipfed.org,"Earth Science Information Partners (ESIP) is a community of Earth science data and information technology practitioners who steward Earth science data, ensuring discovery, access and use of the data to decision makers, researchers and the public. ESIP’s strength comes from the depth of its partner organizations, which now number 110. Among these are all NOAA, NASA and USGS Earth observing data facilities, as well as government research laboratories, research universities, modelers, education resource providers, technology developers, nonprofits and commercial enterprises.
The Earth Science Information Partners was founded in 1998 by NASA in response to a National Research Council (NRC) review of the Earth Observation System Data and Information System (EOSDIS). The NRC called on NASA to develop a new, distributed structure that would be operated and managed by the Earth science community that would include those responsible for all elements of Earth observation, including observation and research, application and education. In 2003, ESIP incorporated as a 501(c)3."
Fedora Project,https://getfedora.org/,"The Fedora Project's core values, or Foundations, are Freedom, Friends, Features, & First. Read more about them here: https://fedoraproject.org/wiki/Foundations
A key component of this is our Community. This community, which you will join as an participant in Google Summer of Code, is creating a platform that supports the work of a diverse audience. Your contributions can affect people you've never met in situations you've never dreamed of. The Fedora community includes software engineers, artists, system administrators, web designers, writers, speakers, and translators -- all of whom will be happy to help you get started.
Full project description available here: https://fedoraproject.org/wiki/Overview
We believe that all contributors should expect and be part of a safe and friendly environment for constructive contribution. We can more effectively and successfully compare and challenge different ideas to find the best solutions for advancement, while building the size, diversity, and strength of our community."
FFmpeg,https://ffmpeg.org/,"What FFmpeg is
FFmpeg is the leading multimedia framework, able to decode, encode, transcode, mux, demux, stream, filter and play pretty much anything that humans and machines have created. It supports the most obscure ancient formats up to the cutting edge, no matter if these formats were designed by some standards committee, the community or a corporation. FFmpeg compiles, runs, and passes our testing infrastructure FATE across Linux, macOS, Microsoft Windows, Android, the BSDs, Solaris, etc. under a wide variety of build environments, platforms and configurations. FFmpeg provides the libraries libavcodec, libavutil, libavformat, libavfilter, libavdevice, libswscale and libswresample to be used by applications as well as the command line tools ffmpeg, ffplay and ffprobe for direct use.
Who the users of FFmpeg are
The FFmpeg libraries are utilized by various applications and services affecting the daily multimedia experience of countless end-users. Among these are media players like VLC and MPlayer, browsers including Chromium and Firefox, social media services from Facebook and Twitter to YouTube and Vimeo. Also a large user base uses the provided command line tools to directly record, manipulate and play media in all the many ways FFmpeg has to offer. If digital multimedia is part of your daily life chances are high that you are already part of the huge group of people who benefit from the FFmpeg project.
How your contribution might fit in
As an interested student you will have the chance to dive into a highly technical environment and demonstrate the skills to develop software at a high level in terms of code quality, maintainability and security. Having a mentor on your side reduces the burden to get you on speed working in a yet unknown codebase and community. You will be able to improve your skills, gain a lot of experience in a very interesting field and possibly contribute your own piece of a software that might have an impact on millions of users."
FOSDEM,https://fosdem.org,"FOSDEM is a two-day event organised by volunteers to promote the widespread use of free and open source software. Taking place in the beautiful city of Brussels (Belgium), FOSDEM is widely recognised as the best such conference in Europe. Participation and attendance is totally free.
FOSDEM is a free and non-commercial event organised by the community for the community. The goal is to provide free and open source software developers and communities a place to meet and:
get in touch with other developers and projects;
be informed about the latest developments in the free software world;
be informed about the latest developments in the open source world;
attend interesting talks and presentations on various topics by project leaders and committers;
promote the development and benefits of free software and open source solutions.
The FOSDEM team feels it is very important for free and open source software developers around the world to be able to meet in “real life”.
To this end, we have set up developer rooms (devrooms) with network/internet connectivity and projectors where teams can meet and showcase their projects. Devrooms are a place for teams to discuss, hack and publicly present latest directions, lightning talks, news and discussions. We believe developers can benefit a lot from these meetings."
FOSSASIA,https://fossasia.org,"FOSSASIA develops Open Source software and hardware for conversational AIs, science and event management with a global developer community from its base in Asia and organizes Open Tech events. The mission of FOSSASIA is to improve people's lives by sharing open technologies, knowledge and resources and building a sustainable FOSS ecosystem. The organization supports its successful projects as an incubator and runs coding programs and development contests like Codeheat to grow the developer community. FOSSASIA's annual OpenTechSummit in Singapore is the premier Open Technology event in Asia for developers, tech companies, and contributors."
FOSSology Project,https://www.fossology.org/,"FOSSology is an industry standard tool for the end-to-end analysis of software components in a single web server application. It lets organizations scan source code for:
•License information, •Copyright notices, •Export control relevant information.
It makes software clearing teams more efficient by offering high precision with few false positives, greatly reducing overhead costs.
FOSSology let users auto-generate compliance documentation according to the organization's needs, in a variety of data formats (DOCX, SPDX, XML, debian-copyright, text files, etc.). It keeps confidential product development information within the organization.
FOSSology is an Open Source Software tool licensed under GPL-2.0 and a Linux Foundation collaboration project. Like any other OSS project FOSSology can be used free of charge (no license fees have to be paid).
As a long-running Open Source project, FOSSology can easily accommodate evolving user needs, and offers unrivalled opportunities for adaptation."
FrameNet Brasil at the Federal University of Juiz de Fora,http://www.ufjf.br/framenetbr-eng/,"FrameNet Brasil (FN-BR) is a Computational Linguistics lab of the Graduate Programs in Linguistics and Computer Sciences at the Federal University of Juiz de Fora, Brazil. It is also the Brazilian branch of the FrameNet initiative, a global effort to build language resources based on Frame Semantics and Construction Grammar started in 1997 by Charles Fillmore, in the International Computer Science Institute, in Berkeley California. FN-Br builds lexical and grammatical language resources and apply them to address issues in Natural Language Understanding. Frame Semantics takes a cognitive approach to study the meaning of words and expressions. Instead of using formal logics (a common view in computational semantics field), the meaning is structured considering how the language users understand and use the words in a given context. FrameNet is the computational implementation of this idea, building a lexical resource cognitively motivated.
The Database
FN-Br implements a relational database storing a set of frames - or scenes -, the elements structuring these frames, the language specific material (words, MWEs and grammatical constructions), and several typed relations between all those items. Such a database provides a model and a structure for semantic representation of the knowledge about a given language. Currently, FN-Br includes data about Brazilian Portuguese, English and Spanish.
The Applications
FN-Br database is the base for the development of different software: a frame-based annotation tool Webtool, a domain-specific dictionary - the FrameNet Brasil World Cup Dictionary; a system for recommending tourist attractions - m.knob; a semantically enhanced sentence translator and a constructional parser - CARMA."
Free and Open Source Silicon Foundation,https://www.fossi-foundation.org,"The Free and Open Source Silicon (FOSSi) Foundation is a not-for-profit organization with the support the growing community of open source silicon hardware. We do this with a variety of activities and through Google Summer of Code we bring together enthusiastic students and outstanding projects. Under our umbrella are open source silicon hardware projects, operating systems and compilers for such projects, tools for electronic design automation and the related ecosystem."
FreeBSD,https://www.FreeBSD.org/,"FreeBSD is an advanced operating system for modern server, desktop, and embedded computer platforms. FreeBSD provides advanced networking, impressive security features, and world class performance, and is used by some of the world's busiest web sites and most pervasive embedded networking and storage devices. From providing the foundation to the PlayStation 4 operating system, to Juniper's routers making up the backbone of the Internet, to being at the core of Apple's OSX and powering the servers Netflix use to stream terabits of video every second, chances are you are using FreeBSD right now without even realizing it.
The FreeBSD Project began 25 years ago in 1993, but is based on the work of Berkeley CSRG with a history going back to 1978. Over those years the code base has gone through continuous development, improvement, and optimization. The FreeBSD Project is a large, mature, and yet relatively tightly knit organization, developed and maintained by a large team of individuals.
There are currently over 300 developers with write access to the main revision control system, and hundreds more with access to our Subversion servers for experimental and third party development. This is also where our Summer of Code students have worked in previous years. We have an active mentoring program to bring all new developers into our community, not just those that we introduce to FreeBSD through the GSoC. There are hundreds of mailing lists, forums, blogs, IRC channels, and user groups all detailed on our main website. FreeBSD offers a complete operating system in which students can work, not just a kernel or specific userland stack. This allows for interesting work that spans the userland/kernel boundary.
In addition to producing an operating system, FreeBSD has incubated the development of key pieces of infrastructure which are used by other open source projects including bsnmp, jemalloc, libarchive, and OpenPAM."
FreeType,https://freetype.org,"FreeType font rendering library
FreeType is a freely available software library to render fonts.
It is written in C, designed to be small, efficient, highly customizable, and portable while capable of producing high-quality output (glyph images) of most vector and bitmap font formats.
Some products that use FreeType for rendering fonts on screen or on paper, either exclusively or partially:
GNU/Linux and other free Unix operating system derivates like FreeBSD or NetBSD;
iOS, Apple's mobile operating system for iPhones and iPads;
Android, Google's operating system for smartphones and tablet computers;
ChromeOS, Google's operating system for laptop computers;
ReactOS, a free open source operating system based on the best design principles found in the Windows NT architecture;
Ghostscript, a PostScript interpreter used in many printers.
Counting the above products only, you get more than a billion devices that contain FreeType."
freifunk,https://freifunk.net,"More and more people are single-handedly installing and maintaining free networks. Every user in the free wireless network provides his or her wireless LAN router for data transfer to other participants. In return, they can also transmit data, such as text, music and movies through a free internal network or use services setup by participants to chat, call or play online games. We use mesh networks.
Umbrella Organisation
We act as umbrella organisation for other wireless communities like Ninux, qaul.net, Guifi.net or WLAN Slovenija and communites developing software we extensivly use like OpenWRT, OLSR, BATMAN, libremesh or retroshare.
Local communities provide software adapted to their own needs on their websites. There are more and more free wireless groups that meet regularly access in villages and cities.
Hardware and Software
Most devices in our networks are routers for home use. They should run with OpenWRT. In our local communities there are a lot of different approaches for different routing protocols, monitoring systems and map solutions. OpenWRT as OS for routers and OLSR, BATMAN and Babel as routing daemons are only a few examples of software developed together with freifunk. You can find a great variety of topics where you can go on with wireless communities. We're looking for people working on new hardware drivers, improving routing protocols, developing network monitoring tools and user interface topics on the web interfaces, helping us with new features and tools to organize decentralized communities.
Common freifunk goals
Educating and creating awareness on the subject of communication and freedom of information
Reducing the digital divide
Unhindered distribution of knowledge and resources
Empowering people to build and operate their own networks
Promote and support existing and new social structures *As we are decentralized there are some challenges, e.g. to get and show information about communities, working together with all those communties."
"Genes, Genomes and Variation",http://www.ensembl.org,"Ensembl was created alongside the publication of the first draft of the human genome in 2001 to distribute this goldmine of information to scientists across the world. It quickly became and remains one of the most important reference databases in genomics, following the rapid development of the field. Its initial mission included finding all of the genes in the human genome. A year later, the mouse genome was published and we developed tools to directly compare genomes across species. Over the following decade, sequencing capacity increased exponentially (faster that Moore's Law in fact) and large surveys started examining more species and more individuals within each species. Our mission therefore expanded to store these datasets and statistics efficiently. Finally, in recent years, sequencing has been used to study the biochemical activity of the DNA molecule within the different tissues of an individual, prompting us to extend yet again our remit.
At the same time, Ensembl is an evolving software development project. Over 15 years, we moved from a central relational MySQL database with a Perl API and static web pages, to an array of storage technologies with a RESTful interface and an interactive front-end. We have dedicated portals for the large clades on the tree of life (known as Ensembl Genomes). Our annotations are produced through centuries of CPU time, coordinated by our powerful eHive analysis workflow manager.
Today, we are a team of nearly 90 full time staff, housed at the European Bioinformatics Institute, and we collaborate with many external contributors around the world, in particular via our Github repositories where you can see us work day-to-day. We are at the intersection of two exciting and rapidly expanding fields, and there is no lack of interesting directions to push the project."
GENIVI Alliance,https://www.genivi.org,"GENIVI® is a nonprofit industry alliance committed to driving the broad adoption of open source, In-Vehicle Infotainment (IVI) software and providing open technology for the connected car.
GENIVI Alliance, the organization, responsible for introducing Linux and open source software into the in-vehicle, infotainment domain, has successfully delivered several assets through its vehicle domain interaction strategy and is evolving into an alliance integrating multiple, in-vehicle operating systems required for a fully integrated vehicle cockpit.
In recent years GENIVI has focused on the integration challenges in the vehicle and outside, which include in particular cross-domain challenges (safety critical vs. non-critical domains), which brings with it diverse operating systems (Linux, Android, AUTOSAR Adaptive(tm) platform, plus a small handful of remaining proprietary and real-time operating systems).
As the industry moves toward combining multiple vehicle cockpit domains (IVI, cluster, connected devices) into a single silicon solution, often with multiple operating systems, automakers are exploring the concept of a central compute platform, coined by some in the market as cockpit computing.
The alliance provides its members with a global networking community of over 100 companies, joining connected car stakeholders with world-class developers in a collaborative environment, resulting in free, open source middleware as well as open standards for interoperability in diverse systems.
Our work is informed by automotive trends and results in standard interfaces and software that shorten development cycles, speed time to market, and reduce costs for companies adopting and producing automotive solutions."
Gentoo Foundation,http://www.gentoo.org,"Every user has work they need to do. The goal of Gentoo is to design tools and systems that allow a user to do that work as pleasantly and efficiently as possible, as they see fit. Our tools should be a joy to use, and should help the user to appreciate the richness of the Linux and free software community, and the flexibility of free software. This is only possible when the tool is designed to reflect and transmit the will of the user, and leave the possibilities open as to the final form of the raw materials (the source code.) If the tool forces the user to do things a particular way, then the tool is working against, rather than for, the user. We have all experienced situations where tools seem to be imposing their respective wills on us. This is backwards, and contrary to the Gentoo philosophy.
Put another way, the Gentoo philosophy is to create better tools. When a tool is doing its job perfectly, you might not even be very aware of its presence, because it does not interfere and make its presence known, nor does it force you to interact with it when you don’t want it to. The tool serves the user rather than the user serving the tool.
The goal of Gentoo is to strive to create near-ideal tools. Tools that can accommodate the needs of many different users all with divergent goals. Don’t you love it when you find a tool that does exactly what you want to do? Doesn’t it feel great? Our mission is to give that sensation to as many people as possible."
Git,http://git-scm.com,"Git is the most widely-used revision control system in Open Source. It is a distributed system with an emphasis on speed, data integrity, and support for distributed, non-linear workflows.
Many large and successful projects use Git, including the Linux Kernel, Perl, Eclipse, Gnome, KDE, Qt, Ruby on Rails, Android, PostgreSQL, Debian, and X.org.
This organization covers projects for Git itself. Other git-based software or services are not covered by this organization."
Global Alliance for Genomics and Health,https://www.ga4gh.org/,"The Global Alliance for Genomics and Health (GA4GH) was formed to help accelerate the potential of genomic medicine to advance human health. It brings together over 400 leading genome institutes and centers with IT industry leaders to create global standards and tools for the secure, privacy respecting and inter-operable sharing of Genomic data."
GNOME,https://www.gnome.org/,"The GNOME project builds the technologies, platform, middle-ware, applications and environment to create a free software solution for using your personal computer. As part of your GSoC internship, you will have an opportunity to attend GNOME's biggest annual conference in Thessaloniki, Greece, at the end of August.
The GNOME project is:
Independent
Our board is democratically elected, and technical decisions are made by the engineers doing the work. We are supported by many organisations; employees from over a hundred companies have contributed since the project began.
Free
We believe that software should be developed in the open. Our development infrastructure and communication channels are public, and our code can be freely downloaded, modified and shared with others. All our contributors have the same rights.
Connected
Our project is an important part of the Free Software ecosystem. We work with other free projects to create high-quality solutions that span the entire software stack.
People-focused
Our software is translated into many languages and comes with built in accessibility features. This means that it can be used by anyone, regardless of the language they speak or their physical abilities."
GNSS-SDR,https://gnss-sdr.org/,"GNSS-SDR is an open source Global Navigation Satellite Systems software receiver, written in C++, that is able to work either from raw signal samples stored in a file, or in real-time with a radio-frequency front-end as signal source, and performs all the signal processing until the observable computation and Position-Velocity-Time solution. Its modularity allows users to populate the framework with their own algorithms, allowing to put the focus on the signal processing implementation without worrying about how to embed that algorithm in a whole GNSS receiver. It also makes possible fair performance benchmarks using real GNSS signals, and its open source license allows free downloading, use and code inspection. The proposed software receiver targets multi-constellation/multi-frequency architectures, pursuing the goals of efficiency, modularity, interoperability, and flexibility demanded by user domains that require non-standard features, such as earth observers or geodesists, and allowing applications such as the observation of the ionosphere, GNSS reflectometry, signal quality monitoring, space weather, and high-accuracy positioning based on carrier-phase navigation techniques. In this project, we focus on signal processing, understood as the process between the ADC and the computation of code and phase observables, including the demodulation of the navigation message. We purposely omit data processing, understood as the computation of the navigation solution from the observables and the navigation message, since there are a number of well-established libraries and applications for that (also in the open source side, such as GPSTk or RTKLIB)."
GNU Compiler Collection,https://gcc.gnu.org/,"The GNU Compiler Collection includes front ends for C, C++, Objective-C, Fortran, Ada, and Go, as well as libraries for these languages (libstdc++,...). GCC was originally written as the compiler for the GNU operating system. The GNU system was developed to be 100% free software, free in the sense that it respects the user's freedom.
We strive to provide regular, high quality releases, which we want to work well on a variety of native and cross targets (including GNU/Linux), and encourage everyone to contribute changes or help testing GCC. Our sources are readily and freely available via SVN and weekly snapshots."
GNU Mailman,http://list.org,"GNU Mailman is mailing list management software. It allows you to create and manage electronic mail mailing lists. It provides a web front-end for easy administration, both for list owners and list members. It supports digests (RFC 934 and RFC 1153), archiving, spam protection, bounce detection, Usenet gateways, and many more features. Version 2.1 supports multilingual mailing lists.
The current stable releases include 2.1.x and 3.x. While 2.1 is now stable, the development focus is on 3.x series which is a complete redesign from architecture to Web UI.
GNU Mailman 3.x series splits the functionality of managing mailing lists into multiple components.
The Mailman Core is the core engine which processes emails and exposes a REST API for clients to control the Core itself.
Postorius is the official web management interface of Core, which is written in Django. It uses the Python library MailmanClient to talk to Mailman Core.
Hyperkitty is the official archiver with supercharged capabilities, which allows it to be used as a forum and send emails from the web ui."
GNU Octave,http://www.octave.org,"GNU Octave is a high-level interpreted language, primarily intended for numerical computations. It provides capabilities for the numerical solution of linear and nonlinear problems and for performing other numerical experiments. It also provides extensive graphics capabilities for data visualization and manipulation. Octave is normally used through its interactive command line interface, but it can also be used to write non-interactive programs. The Octave language is quite similar to Matlab so that most programs are easily portable.
Octave is continually being upgraded. The current version 4.4 includes a graphical user interface, support for classdef object-oriented programming, and many new and improved functions. Student projects may also involve developing or upgrading Octave Forge packages, which can be loaded to provide additional specialized functions that supplement those provided in Core Octave."
GNU Radio,https://www.gnuradio.org/,"What is GNU Radio? GNU Radio is a free & open-source software development toolkit that provides signal processing blocks to implement software radios. It can be used with readily-available low-cost external RF hardware to create software-defined radios, or without hardware in a simulation-like environment. It is widely used in research, industry, academia, government, and hobbyist environments to support both wireless communications research and real-world radio systems.
What is Software Radio? The Wikipedia page on Software Radio provides an excellent overview. In brief, a software radio is a radio system which performs the required signal processing in software instead of using dedicated integrated circuits in hardware. The benefit is that since software can be easily replaced in the radio system, the same hardware can be used to create many kinds of radios for many different communications standards; thus, one software radio can be used for a variety of applications!"
Godot Engine,https://godotengine.org,"2D and 3D cross-platform game engine
Godot Engine is a feature-packed, cross-platform game engine to create 2D and 3D games from a unified interface. It provides a comprehensive set of common tools, so that users can focus on making games without having to reinvent the wheel. Games can be exported in one click to a number of platforms, including the major desktop platforms (Linux, macOS, Windows) as well as mobile (Android, iOS) and web-based (HTML5) platforms.
Free, open source and community-driven
Godot is completely free and open source under the very permissive MIT license. No strings attached, no royalties, nothing. The users' games are theirs, down to the last line of engine code. Godot's development is fully independent and community-driven, empowering users to help shape their engine to match their expectations. It is supported by the Software Freedom Conservancy not-for-profit.
Major industry player
With its major 3.0 release in January 2018 and upcoming 3.1 release, Godot is establishing itself as a major player not only among free and open source engine, but also next to the proprietary engines which currently dominate the market (Unity3D, Unreal Engine, Game Maker, etc.).
Hundreds of game and engine developers from all over the world contribute to its success daily by extending the engine, fixing bugs, writing documentation, providing support on community channels and, last but not least, developing their own great games with Godot!"
gprMax,http://www.gprmax.com,"gprMax is open source software that simulates electromagnetic wave propagation. It uses Yee's algorithm to solve Maxwell’s equations in 3D using the Finite-Difference Time-Domain (FDTD) method.
It is designed for simulating Ground Penetrating Radar (GPR) and can also be used to model electromagnetic wave propagation in fields such as engineering, geophysics, archaeology, and medicine. There are a wide range of applications range from assessing infrastructure such as bridges and roads, locating buried utilities, mapping glaciers, finding anti-personnel landmines, and detecting tumours in the human body.
gprMax is command-line-driven software written in Python with performance-critical parts written in Cython. It does not currently feature a graphical user interface (GUI) which allows it to be very flexible and scriptable software that can run in high-performance computing (HPC) environments, i.e. on supercomputers.
gprMax can be run on either CPU or GPU. The CPU solver has been parallelised using OpenMP which enables it to run on multi-core CPUs. The GPU solver has been developed using the NVIDIA CUDA programming model. gprMax also features a Messaging Passing Interface (MPI) task farm, which can operate with CPU nodes or multiple GPUs."
Haiku,http://www.haiku-os.org,"HAIKU is an open source operating system currently in development. Specifically targeting personal computing, Haiku is a fast, efficient, simple to use, easy to learn, and yet very powerful system for computer users of all levels. Additionally, Haiku offers something over other open source platforms which is quite unique: The project consists of a single team writing everything from the kernel, drivers, userland services, tool kit, and graphics stack to the included desktop applications and preflets. While numerous open source projects are utilized in Haiku, they are integrated seamlessly. This allows Haiku to achieve a level of consistency that provides many conveniences, and is truly enjoyable to use by both end-users and developers alike.
The key highlights that distinguish Haiku from other operating systems include:
Specific focus on personal computing
Custom kernel designed for responsiveness
Fully threaded design for great efficiency with multi-processor/core CPUs
Rich object-oriented API for faster development
Database-like file system (BFS) with support for indexed metadata
Unified, cohesive interface
The Be Operating System introduced progressive concepts and technologies that we believe represent the ideal means to simple and efficient personal computing. Haiku is the realization of those concepts and technologies in the form of an operating system that is open source and free.
Haiku is developed by a growing community of volunteer developers from all around the world. Additionally, Haiku also exists thanks to the dedicated support of a fervent and friendly community, and that of Haiku, Inc., a non-profit organization founded by former project leader Michael Phipps with the purpose of supporting the development of Haiku as well as the growth of both the community and the Haiku platform."
Haskell.Org,http://haskell.org,"Haskell is an advanced, general-purpose, purely functional programming language. It has a strong, static type system with Hindley-Milner type inference.
The language natively supports lazy evaluation, and functions are generally not allowed to have side effects. This leads to a concise and declarative style of programming, which differs quite a bit from conventional languages. By not allowing side effects and dealing with immutable data, the compiler can avoid whole classes of bugs.
Haskell generally compiles to fast, native code, but it can also be compiled to other targets like JavaScript (through GHCJS) or LLVM.
In Google Summer of Code, we attempt to improve not only the language, but the whole ecosystem. This includes (aside from the language itself):
Compilers
Commonly used libraries
Commonly used applications written in Haskell
Profilers, debuggers and other tools
Package managers and infrastructure
We have compiled an ideas list together with long-time Haskell users, compiler contributors and researchers, and as such we believe these are important projects for the industry and academia both."
Hydra Ecosystem,https://www.hydraecosystem.org/,"Hydra is a documentation framework that bases on top of established Linked Data (Semantic Web) tools to build the next generation of connected Web APIs. The team of developers in the Hydra Ecosystem community aims to establish tools to make Hydra framework operational using Python. A list of tools under development can be found at this link.
Hydra is currently a draft created by World Wide Web Consortium’s Hydra Community Group. Official documentation available here and development is open here.
Hydra Ecosystem promotes and facilitates the adoption of Hydra."
INCF,https://www.incf.org/,"The International Neuroinformatics Coordinating Facility (INCF; www.incf.org) is an international organization launched in 2005, following a proposal from the Global Science Forum of the OECD. INCF was established to facilitate and promote the sharing of data and computing resources in the international neuroscience community, and to advance training in the field. A larger objective of INCF is to advance data reuse and reproducibility in brain research, by coordinating the development of Open, FAIR, and Citable tools and resources for neuroscience.
The global INCF community provides coordination of global neuroscience infrastructure through the development and endorsement of consensus-based standards and best practices and trains scientists, administrators, and students in using neuroinformatics tools and methods. We are developing a training platform and building the community to support it and its student communities.
INCF activities are open to all who can contribute to neuroinformatics at the international level. We have a global community of neuroscience researchers working on new and improved tools for all of neuroscience – enabling other researchers to make more and faster discoveries, and improving our understanding of the brain."
Inkscape,http://www.inkscape.org/,"Inkscape is an open-source vector graphics editor similar to Adobe Illustrator, Corel Draw, Freehand, or Xara X. What sets Inkscape apart is its use of Scalable Vector Graphics (SVG), an open XML-based W3C standard, as the native format."
Institut für Angewandte Informatik (InfAI) e.V.,https://infai.org,"The Institute for Applied Informatics (InfAI) e.V. was founded in 2006 to promote science and research in the areas of Computer Science and Information Systems. Since 2008 the institute has been a state-approved affiliated institute of Leipzig University. For Google Summer of Code it acts as an umbrella organization for the research group “Visual Software Analytics” which started Getaviz in 2018. Our research group consists of five permanent members, who will be mentors for GSoC. We deal with the question of how the software development process can be improved. Through visualizations we make the abstract problems of software development more understandable and accessible. In recent years, we have built up a great deal of knowledge in this field and published at international scientific conferences together with scientists from all over the world. Since last year, we have concentrated to put scientific findings into practice. Our innovative open source project Getaviz transfers the knowledge of the scientific community of software visualization into helpful tools for software developers. With the support of our growing community we are designing visualizations for exploring the structure, behavior, and evolution of software artifacts in 2D, 3D, virtual reality, and augmented reality. We provide a highly creative environment with many modern technologies on transition between science and industry."
